prod_id,prod_name,customer_review,customer_rating,cleaned_review,is_fake
itm87ffbf2a0bf08,ONEPLUS NORD BUDS 3R TWS EARBUD 10MIN CHARGE 8HR MUSIC 3D AUDIO 2 MIC CALL BLUETOOTH,Mind-blowing purchase,5.0,mindblowing purchase,0
itm87ffbf2a0bf08,ONEPLUS NORD BUDS 3R TWS EARBUD 10MIN CHARGE 8HR MUSIC 3D AUDIO 2 MIC CALL BLUETOOTH,Value-for-money,4.0,valueformoney,1
itm87ffbf2a0bf08,ONEPLUS NORD BUDS 3R TWS EARBUD 10MIN CHARGE 8HR MUSIC 3D AUDIO 2 MIC CALL BLUETOOTH,Terrific,5.0,terrific,1
